iter	Passed	Remaining
717	6647	2610
718	6656	2601
719	6665	2592
720	6675	2583
721	6685	2574
722	6694	2564
723	6703	2555
724	6712	2545
725	6722	2536
726	6730	2527
727	6739	2518
728	6748	2508
729	6757	2499
730	6766	2490
731	6777	2481
732	6786	2472
733	6795	2462
734	6805	2453
735	6814	2444
736	6822	2434
737	6831	2425
738	6841	2416
739	6851	2407
740	6860	2398
741	6870	2389
742	6879	2379
743	6888	2370
744	6897	2360
745	6906	2351
746	6915	2342
747	6925	2333
748	6934	2323
749	6943	2314
750	6953	2305
751	6962	2296
752	6972	2287
753	6982	2277
754	6991	2268
755	7000	2259
756	7008	2249
757	7018	2240
758	7028	2231
759	7037	2222
760	7046	2213
761	7055	2203
762	7065	2194
763	7074	2185
764	7084	2176
765	7093	2166
766	7102	2157
767	7110	2148
768	7119	2138
769	7128	2129
770	7137	2120
771	7146	2110
772	7156	2101
773	7165	2092
774	7174	2082
775	7184	2073
776	7195	2065
777	7204	2055
778	7214	2046
779	7223	2037
780	7232	2028
781	7242	2019
782	7252	2009
783	7261	2000
784	7271	1991
785	7282	1982
786	7293	1973
787	7303	1964
788	7312	1955
789	7321	1946
790	7329	1936
791	7339	1927
792	7348	1918
793	7357	1908
794	7367	1899
795	7377	1890
796	7386	1881
797	7395	1872
798	7404	1862
799	7413	1853
800	7424	1844
801	7433	1835
802	7442	1825
803	7451	1816
804	7460	1807
805	7470	1798
806	7480	1788
807	7490	1779
808	7500	1770
809	7510	1761
810	7519	1752
811	7529	1743
812	7538	1733
813	7547	1724
814	7557	1715
815	7566	1706
816	7575	1696
817	7584	1687
818	7593	1678
819	7602	1668
820	7612	1659
821	7621	1650
822	7629	1640
823	7638	1631
824	7647	1622
825	7656	1612
826	7665	1603
827	7675	1594
828	7684	1585
829	7694	1576
830	7703	1566
831	7713	1557
832	7722	1548
833	7732	1539
834	7742	1529
835	7751	1520
836	7760	1511
837	7770	1502
838	7779	1492
839	7789	1483
840	7797	1474
841	7806	1464
842	7816	1455
843	7826	1446
844	7836	1437
845	7845	1428
846	7854	1418
847	7863	1409
848	7873	1400
849	7882	1390
850	7893	1382
851	7901	1372
852	7911	1363
853	7920	1354
854	7930	1344
855	7939	1335
856	7948	1326
857	7957	1316
858	7967	1307
859	7976	1298
860	7985	1289
861	7995	1280
862	8004	1270
863	8015	1261
864	8024	1252
865	8034	1243
866	8044	1233
867	8053	1224
868	8063	1215
869	8073	1206
870	8082	1197
871	8092	1187
872	8101	1178
873	8111	1169
874	8121	1160
875	8130	1150
876	8139	1141
877	8148	1132
878	8158	1123
879	8168	1113
880	8178	1104
881	8188	1095
882	8196	1086
883	8205	1076
884	8214	1067
885	8223	1058
886	8233	1048
887	8242	1039
888	8252	1030
889	8262	1021
890	8271	1011
891	8280	1002
892	8290	993
893	8302	984
894	8312	975
895	8322	966
896	8332	956
897	8342	947
898	8352	938
899	8362	929
900	8372	919
901	8381	910
902	8391	901
903	8401	892
904	8410	882
905	8421	873
906	8431	864
907	8441	855
908	8452	846
909	8461	836
910	8471	827
911	8480	818
912	8491	809
913	8501	799
914	8511	790
915	8520	781
916	8533	772
917	8542	763
918	8552	753
919	8561	744
920	8569	735
921	8579	725
922	8587	716
923	8597	707
924	8606	697
925	8616	688
926	8625	679
927	8635	670
928	8644	660
929	8652	651
930	8662	642
931	8671	632
932	8680	623
933	8688	613
934	8697	604
935	8706	595
936	8716	586
937	8725	576
938	8734	567
939	8743	558
940	8752	548
941	8761	539
942	8771	530
943	8780	520
944	8789	511
945	8798	502
946	8807	492
947	8817	483
948	8827	474
949	8836	465
950	8844	455
951	8854	446
952	8863	437
953	8871	427
954	8881	418
955	8891	409
956	8900	399
957	8908	390
958	8918	381
959	8928	372
960	8937	362
961	8946	353
962	8956	344
963	8966	334
964	8975	325
965	8983	316
966	8994	306
967	9003	297
968	9012	288
969	9021	279
970	9030	269
971	9040	260
972	9048	251
973	9059	241
974	9069	232
975	9079	223
976	9088	213
977	9097	204
978	9106	195
